The simulation was run in2018-01-07 13:04:53.317000

number_ of_periods = 8000
number_of_divisions_per_period = 8000
w = 5.61

             phi                           dotphi                          time          
     9.025193325486149E-05          1.083198692077530E-02          5.026548245743669E-02 
    -1.037528315931871E-02          2.293852524893429E-02          2.011121953122341E+02 
    -1.037528317589548E-02          2.293852485430873E-02          4.021741251420821E+02 
    -1.037528317685552E-02          2.293852496879623E-02          6.032360549719300E+02 
    -1.037528317781657E-02          2.293852508331177E-02          8.042979848017779E+02 
    -1.037528317877349E-02          2.293852519778797E-02          1.005359914631626E+03 
    -1.037528316821696E-02          2.293852434790864E-02          1.206421844460649E+03 
    -1.037528316054506E-02          2.293852343297284E-02          1.407483774289587E+03 
    -1.037528315287211E-02          2.293852251803414E-02          1.608545704118525E+03 
    -1.037528314521166E-02          2.293852160310724E-02          1.809607633947464E+03 
    -1.037528313753874E-02          2.293852068817340E-02          2.010669563776402E+03 
    -1.037528315128645E-02          2.293852151055068E-02          2.211731493606822E+03 
    -1.037528316087968E-02          2.293852265452146E-02          2.412793423437579E+03 
